,season,day,timestamp_feed,description,event_type,parent_description,parent_event_type,type_feed,fragment,timestamp_rng,player_name,type_rng,s0,s1,offset
65,11,115,2021-03-07 19:01:04+00:00,Sandie Turner is Infused.,117,Will Received: Infuse,61,infuse,-1,,,,-1,-1,-1
66,11,115,2021-03-07 19:01:04+00:00,Concrete Mandible entered the Shadows.,117,Will Received: Foreshadow,61,shadow,-1,,,,-1,-1,-1
67,11,115,2021-03-07 19:01:04+00:00,Greer Lott is Infused.,117,Will Received: Infuse,61,infuse,-1,,,,-1,-1,-1
68,11,115,2021-03-07 19:01:04+00:00,Declan Suzanne entered the Shadows.,117,Will Received: Foreshadow,61,shadow,-1,,,,-1,-1,-1
69,11,115,2021-03-07 19:01:04+00:00,Sosa Hayes is Infused.,117,Will Received: Infuse,61,infuse,-1,,,,-1,-1,-1
70,11,115,2021-03-07 19:01:04+00:00,Alaynabella Hollywood entered the Shadows.,117,Will Received: Foreshadow,61,shadow,-1,,,,-1,-1,-1
71,11,115,2021-03-07 19:01:04+00:00,Nagomi Mcdaniel entered the Shadows.,117,Will Received: Exchange,61,shadow,-1,,,,-1,-1,-1
72,11,115,2021-03-07 19:01:04+00:00,Charlatan Seabright entered the Shadows.,117,Will Received: Foreshadow,61,shadow,-1,,,,-1,-1,-1
73,11,115,2021-03-07 19:01:04+00:00,Logan Horseman is Infused.,117,Will Received: Infuse,61,infuse,-1,,,,-1,-1,-1
74,11,115,2021-03-07 19:01:04+00:00,Leach Herman is Infused.,117,Will Received: Infuse,61,infuse,-1,,,,-1,-1,-1
75,11,115,2021-03-07 19:01:04+00:00,Ren Morin entered the Shadows.,117,Will Received: Foreshadow,61,shadow,-1,,,,-1,-1,-1
76,11,115,2021-03-07 19:01:04+00:00,Rigby Friedrich is Infused.,117,Will Received: Infuse,61,infuse,-1,,,,-1,-1,-1
77,11,115,2021-03-07 19:01:04+00:00,Pudge Nakamoto is Infused.,117,Will Received: Infuse,61,infuse,-1,,,,-1,-1,-1
78,11,115,2021-03-07 19:01:04+00:00,Ruslan Greatness is Infused.,117,Will Received: Infuse,61,infuse,-1,,,,-1,-1,-1
79,11,115,2021-03-07 19:01:04+00:00,Alyssa Harrell is Infused.,117,Will Received: Infuse,61,infuse,-1,,,,-1,-1,-1
80,11,115,2021-03-07 19:01:04+00:00,Fletcher Yamamoto entered the Shadows.,117,Will Received: Foreshadow,61,shadow,-1,,,,-1,-1,-1
