,Unnamed: 0,event_type,weather_roll,has_runner,mystery_roll,should_try_to_steal_roll,pitch_in_strike_zone_roll,batter_swings_roll,contact_roll,foul_roll,unknown_roll_1,hit_or_out_roll,unknown_roll_2,unknown_roll_3,unknown_roll_4,unknown_roll_5,unknown_roll_6,unknown_roll_7,fielder_selection_roll,unknown_after_fielder_selection_roll,bird_number_roll,bird_message_roll,thief,batter.thwackability,batter.moxie,batter.divinity,batter.musclitude,batter.patheticism,batter.buoyancy,batter.baseThirst,batter.laserlikeness,batter.groundFriction,batter.continuation,batter.indulgence,batter.martyrdom,batter.tragicness,batter.shakespearianism,batter.suppression,batter.unthwackability,batter.coldness,batter.overpowerment,batter.ruthlessness,batter.omniscience,batter.tenaciousness,batter.watchfulness,batter.anticapitalism,batter.chasiness,batter.pressurization,batter.cinnamon,pitcher.thwackability,pitcher.moxie,pitcher.divinity,pitcher.musclitude,pitcher.patheticism,pitcher.buoyancy,pitcher.baseThirst,pitcher.laserlikeness,pitcher.groundFriction,pitcher.continuation,pitcher.indulgence,pitcher.martyrdom,pitcher.tragicness,pitcher.shakespearianism,pitcher.suppression,pitcher.unthwackability,pitcher.coldness,pitcher.overpowerment,pitcher.ruthlessness,pitcher.omniscience,pitcher.tenaciousness,pitcher.watchfulness,pitcher.anticapitalism,pitcher.chasiness,pitcher.pressurization,pitcher.cinnamon,batter,pitcher,thief.thwackability,thief.moxie,thief.divinity,thief.musclitude,thief.patheticism,thief.buoyancy,thief.baseThirst,thief.laserlikeness,thief.groundFriction,thief.continuation,thief.indulgence,thief.martyrdom,thief.tragicness,thief.shakespearianism,thief.suppression,thief.unthwackability,thief.coldness,thief.overpowerment,thief.ruthlessness,thief.omniscience,thief.tenaciousness,thief.watchfulness,thief.anticapitalism,thief.chasiness,thief.pressurization,thief.cinnamon
17,17,EventType.HomeRun,0.5451361429152426,True,0.4060587063986234,0.6592812858209729,0.2210094889772622,0.4676500446605198,0.90991945929209,0.6497941283145494,0.1535670058667517,0.3017754313944301,0.7411415389111367,0.4167397740918184,0.230336419254391,0.4417829668395721,,,,,,,,0.9071282701651996,0.545994340917979,0.6062916483681009,0.8819392850662715,0.544985525992606,0.113192042933707,0.1999059976242481,0.0115546244592548,0.6866976758815868,0.6632664226742115,0.5645342574096985,0.210663363186226,0.1,0.1484654258891131,0.614500369973489,0.9212251084882496,0.3106569317706147,0.5401814198618857,0.7137799800626115,0.2794247248591694,0.6330423742715554,0.8150737533281842,0.4374859469691157,0.6897317244541197,0.8988482027631604,0.4923577503857803,0.0954942182648388,0.9481772935890836,0.6466601264001044,0.3294607416748534,0.919582617799636,0.904207509135099,0.1108326987822363,0.6248356573358633,0.4759993527293666,0.5688132605062097,0.0130983493813003,0.3847666905631948,0.1,0.1868339376895114,0.1269079777394932,0.7783984881467316,0.6325748296367963,0.6240859001142638,0.8999049478812817,0.9843276023178912,0.6602431928130081,0.0262161885901093,0.5161477530232157,0.937514120052508,0.3856185779831285,0.06544767831993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,EventType.StrikeLooking,0.8266005975770572,True,0.1558180510335012,0.8231817664415759,0.0950018365963489,0.6175774685772455,,,,,,,,,,,,,,,,0.6380607077085325,0.6012156325812277,0.3342214148454121,0.932083503800955,0.7727426880749548,0.9475580276271998,0.1499402602843882,0.8091085086644214,0.0194183502957041,0.2266882591966199,0.8500137214628332,0.0249243853381961,0.1,0.8027334753468993,0.2198063357423756,0.180765969438863,0.9818977030776724,0.3388560431270082,0.6935318840732521,0.5786502897209715,0.1505714669527418,0.2838214607935063,0.260475417857241,0.7116697710770961,0.7284504542962638,0.5660727501850884,0.0954942182648388,0.9481772935890836,0.6466601264001044,0.3294607416748534,0.919582617799636,0.904207509135099,0.1108326987822363,0.6248356573358633,0.4759993527293666,0.5688132605062097,0.0130983493813003,0.3847666905631948,0.1,0.1868339376895114,0.1269079777394932,0.7783984881467316,0.6325748296367963,0.6240859001142638,0.8999049478812817,0.9843276023178912,0.6602431928130081,0.0262161885901093,0.5161477530232157,0.937514120052508,0.3856185779831285,0.06544767831993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,EventType.StrikeLooking,0.5635483367649663,True,0.9903931561118092,0.2004511796951764,0.0037446982163205,0.655623028264684,,,,,,,,,,,,,,,,0.6380607077085325,0.6012156325812277,0.3342214148454121,0.932083503800955,0.7727426880749548,0.9475580276271998,0.1499402602843882,0.8091085086644214,0.0194183502957041,0.2266882591966199,0.8500137214628332,0.0249243853381961,0.1,0.8027334753468993,0.2198063357423756,0.180765969438863,0.9818977030776724,0.3388560431270082,0.6935318840732521,0.5786502897209715,0.1505714669527418,0.2838214607935063,0.260475417857241,0.7116697710770961,0.7284504542962638,0.5660727501850884,0.0954942182648388,0.9481772935890836,0.6466601264001044,0.3294607416748534,0.919582617799636,0.904207509135099,0.1108326987822363,0.6248356573358633,0.4759993527293666,0.5688132605062097,0.0130983493813003,0.3847666905631948,0.1,0.1868339376895114,0.1269079777394932,0.7783984881467316,0.6325748296367963,0.6240859001142638,0.8999049478812817,0.9843276023178912,0.6602431928130081,0.0262161885901093,0.5161477530232157,0.937514120052508,0.3856185779831285,0.06544767831993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,EventType.HomeRun,0.098762362459968,False,0.5726080145845689,0.5457520486818404,0.4908023348637877,0.092200741887354,0.038284348299348,0.7748902850004071,0.6217899698530271,0.6955157422924596,0.5019362780112897,0.4694251168395098,,,,,0.0574045138794763,,,,,0.6380607077085325,0.6012156325812277,0.3342214148454121,0.932083503800955,0.7727426880749548,0.9475580276271998,0.1499402602843882,0.8091085086644214,0.0194183502957041,0.2266882591966199,0.8500137214628332,0.0249243853381961,0.1,0.8027334753468993,0.2198063357423756,0.180765969438863,0.9818977030776724,0.3388560431270082,0.6935318840732521,0.5786502897209715,0.1505714669527418,0.2838214607935063,0.260475417857241,0.7116697710770961,0.7284504542962638,0.5660727501850884,0.0954942182648388,0.9481772935890836,0.6466601264001044,0.3294607416748534,0.919582617799636,0.904207509135099,0.1108326987822363,0.6248356573358633,0.4759993527293666,0.5688132605062097,0.0130983493813003,0.3847666905631948,0.1,0.1868339376895114,0.1269079777394932,0.7783984881467316,0.6325748296367963,0.6240859001142638,0.8999049478812817,0.9843276023178912,0.6602431928130081,0.0262161885901093,0.5161477530232157,0.937514120052508,0.3856185779831285,0.06544767831993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,EventType.Foul,0.2189567997776431,False,0.5065173413815944,,0.2395291947596449,0.2381859421789771,0.1297613533970616,0.2668517052982302,,,,,,,,,,,,,,0.9418902649709118,0.0980656428254216,0.6837798687796137,0.7114841938990382,0.4048518531703051,0.3078306463032667,0.2420612669630861,0.0160977203131864,0.2765964861725563,0.8792987632485005,0.1657905046155536,0.1334617032014775,0.1,0.6562898730223858,0.6131567677744476,0.4597927635798813,0.9288944027200594,0.1520256691503045,0.1594593394349257,0.0010196037976704,0.8930719849609547,0.6202457520022422,0.8872990130003819,0.5852097162243755,0.1645472482372625,0.4915059611966617,0.9362488763449588,0.3216119350820285,0.2110306676430349,0.2198375892262973,0.8839031364880394,0.3848580981254852,0.0018194321129088,0.3355436581608968,0.5171082997404857,0.2962551835517792,0.6382917672474768,0.245779971758425,0.1,0.7950879672158303,0.82762143573018,0.5640917170229244,0.3169548249838488,0.3152537658659048,0.4284982836502332,0.505687938287068,0.6119205103205829,0.426619820713167,0.7522133816988852,0.6305989086563561,0.0596497574495376,0.9570462723485168,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,EventType.HomeRun,0.1495002820992881,False,0.7132121121992625,,0.2817554292012179,0.58457975605317,0.7973918997005685,0.9201825494380768,0.9843848774621836,0.4575305444614335,0.4364730001487387,0.4671925813998605,,,,,0.1756006725217491,,,,,0.9418902649709118,0.0980656428254216,0.6837798687796137,0.7114841938990382,0.4048518531703051,0.3078306463032667,0.2420612669630861,0.0160977203131864,0.2765964861725563,0.8792987632485005,0.1657905046155536,0.1334617032014775,0.1,0.6562898730223858,0.6131567677744476,0.4597927635798813,0.9288944027200594,0.1520256691503045,0.1594593394349257,0.0010196037976704,0.8930719849609547,0.6202457520022422,0.8872990130003819,0.5852097162243755,0.1645472482372625,0.4915059611966617,0.9362488763449588,0.3216119350820285,0.2110306676430349,0.2198375892262973,0.8839031364880394,0.3848580981254852,0.0018194321129088,0.3355436581608968,0.5171082997404857,0.2962551835517792,0.6382917672474768,0.245779971758425,0.1,0.7950879672158303,0.82762143573018,0.5640917170229244,0.3169548249838488,0.3152537658659048,0.4284982836502332,0.505687938287068,0.6119205103205829,0.426619820713167,0.7522133816988852,0.6305989086563561,0.0596497574495376,0.9570462723485168,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,EventType.StrikeLooking,0.3042600259906658,False,0.3833657518037288,,0.1248572097120876,0.8437809524200457,,,,,,,,,,,,,,,,0.5256652565574154,0.1065039064728721,0.4576133382293201,0.869434439094253,0.8210659026286053,0.3716888230640884,0.7949127286710809,0.6624466468634385,0.6375225493063692,0.0636891252058595,0.7776732986904085,0.7855625293500272,0.1,0.9338633001894056,0.105354304187232,0.3754420978754529,0.2902845371075797,0.3906915552373027,0.306246683093285,0.2680116216616826,0.3541516439653223,0.3412286385119776,0.5699560177086616,0.4309635948768822,0.9635510486845484,0.4262511313662047,0.9362488763449588,0.3216119350820285,0.2110306676430349,0.2198375892262973,0.8839031364880394,0.3848580981254852,0.0018194321129088,0.3355436581608968,0.5171082997404857,0.2962551835517792,0.6382917672474768,0.245779971758425,0.1,0.7950879672158303,0.82762143573018,0.5640917170229244,0.3169548249838488,0.3152537658659048,0.4284982836502332,0.505687938287068,0.6119205103205829,0.426619820713167,0.7522133816988852,0.6305989086563561,0.0596497574495376,0.9570462723485168,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,EventType.HomeRun,0.6461568521052723,False,0.7979385528018488,,0.413292408401551,0.2994464529345781,0.0674526814450224,0.5676221992614832,0.92329030313639,0.9990693939913436,,,,,,,0.2777448094084498,0.0491774921828402,,,,0.5256652565574154,0.1065039064728721,0.4576133382293201,0.869434439094253,0.8210659026286053,0.3716888230640884,0.7949127286710809,0.6624466468634385,0.6375225493063692,0.0636891252058595,0.7776732986904085,0.7855625293500272,0.1,0.9338633001894056,0.105354304187232,0.3754420978754529,0.2902845371075797,0.3906915552373027,0.306246683093285,0.2680116216616826,0.3541516439653223,0.3412286385119776,0.5699560177086616,0.4309635948768822,0.9635510486845484,0.4262511313662047,0.9362488763449588,0.3216119350820285,0.2110306676430349,0.2198375892262973,0.8839031364880394,0.3848580981254852,0.0018194321129088,0.3355436581608968,0.5171082997404857,0.2962551835517792,0.6382917672474768,0.245779971758425,0.1,0.7950879672158303,0.82762143573018,0.5640917170229244,0.3169548249838488,0.3152537658659048,0.4284982836502332,0.505687938287068,0.6119205103205829,0.426619820713167,0.7522133816988852,0.6305989086563561,0.0596497574495376,0.9570462723485168,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31,EventType.Foul,0.622568468061542,False,0.495834699411807,,0.1700589405503139,0.5515605026535386,0.4151823282934028,0.0018435600264883,,,,,,,,,,,,,,0.7309649596914469,0.8844712512165231,0.2632707479236456,0.9277035353964678,0.4853631045422888,0.7668626603731321,0.1443652831149398,0.4573143365775773,0.0073198453611427,0.0653157701991162,0.9497159581071848,0.4589114060040944,0.1,0.308625809348489,0.0528895298887941,0.4118331875178416,0.914781040877473,0.3601033535906837,0.9933823683799768,0.3703207954185064,0.7691711654973683,0.6619553804931999,0.3188236039201526,0.7675196214546673,0.4324531533478875,0.7920767461710847,0.9362488763449588,0.3216119350820285,0.2110306676430349,0.2198375892262973,0.8839031364880394,0.3848580981254852,0.0018194321129088,0.3355436581608968,0.5171082997404857,0.2962551835517792,0.6382917672474768,0.245779971758425,0.1,0.7950879672158303,0.82762143573018,0.5640917170229244,0.3169548249838488,0.3152537658659048,0.4284982836502332,0.505687938287068,0.6119205103205829,0.426619820713167,0.7522133816988852,0.6305989086563561,0.0596497574495376,0.9570462723485168,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32,EventType.Foul,0.4667246478107034,False,0.5367403022908204,,0.2960790050403936,0.0085633697986957,0.1119199196619769,0.2284727268465911,,,,,,,,,,,,,,0.7309649596914469,0.8844712512165231,0.2632707479236456,0.9277035353964678,0.4853631045422888,0.7668626603731321,0.1443652831149398,0.4573143365775773,0.0073198453611427,0.0653157701991162,0.9497159581071848,0.4589114060040944,0.1,0.308625809348489,0.0528895298887941,0.4118331875178416,0.914781040877473,0.3601033535906837,0.9933823683799768,0.3703207954185064,0.7691711654973683,0.6619553804931999,0.3188236039201526,0.7675196214546673,0.4324531533478875,0.7920767461710847,0.9362488763449588,0.3216119350820285,0.2110306676430349,0.2198375892262973,0.8839031364880394,0.3848580981254852,0.0018194321129088,0.3355436581608968,0.5171082997404857,0.2962551835517792,0.6382917672474768,0.245779971758425,0.1,0.7950879672158303,0.82762143573018,0.5640917170229244,0.3169548249838488,0.3152537658659048,0.4284982836502332,0.505687938287068,0.6119205103205829,0.426619820713167,0.7522133816988852,0.6305989086563561,0.0596497574495376,0.9570462723485168,,,,,,,,,,,,,,,,,,,,,,,,,,,,
