,event_type,weather_roll,has_runner,mystery_roll,should_try_to_steal_roll,pitch_in_strike_zone_roll,batter_swings_roll,contact_roll,foul_roll,unknown_roll_1,hit_or_out_roll,unknown_roll_2,unknown_roll_3,unknown_roll_4,unknown_roll_5,unknown_roll_6,unknown_roll_7,fielder_selection_roll,unknown_after_fielder_selection_roll,bird_number_roll,bird_message_roll,batter,pitcher,thief,batter.thwackability,batter.moxie,batter.divinity,batter.musclitude,batter.patheticism,batter.buoyancy,batter.baseThirst,batter.laserlikeness,batter.groundFriction,batter.continuation,batter.indulgence,batter.martyrdom,batter.tragicness,batter.shakespearianism,batter.suppression,batter.unthwackability,batter.coldness,batter.overpowerment,batter.ruthlessness,batter.omniscience,batter.tenaciousness,batter.watchfulness,batter.anticapitalism,batter.chasiness,batter.pressurization,batter.cinnamon,batter.vibes,pitcher.thwackability,pitcher.moxie,pitcher.divinity,pitcher.musclitude,pitcher.patheticism,pitcher.buoyancy,pitcher.baseThirst,pitcher.laserlikeness,pitcher.groundFriction,pitcher.continuation,pitcher.indulgence,pitcher.martyrdom,pitcher.tragicness,pitcher.shakespearianism,pitcher.suppression,pitcher.unthwackability,pitcher.coldness,pitcher.overpowerment,pitcher.ruthlessness,pitcher.omniscience,pitcher.tenaciousness,pitcher.watchfulness,pitcher.anticapitalism,pitcher.chasiness,pitcher.pressurization,pitcher.cinnamon,pitcher.vibes
13,EventType.Ball,0.8605807372566461,True,0.25664297130046654,0.5550907942933825,0.8629853815178832,0.4951197114841155,,,,,,,,,,,,,,,,,,0.9535134766397051,0.5024106807679609,0.7586588394517786,0.5674503101498585,0.6748439619681941,0.6305034800523104,0.4593815269177984,0.540066251980097,0.7801343330747577,0.9759685540381304,0.6498944436385159,0.5032462560376627,0.1,1.1132992228366232,0.5457464277287041,0.39109767751924945,0.7729467844458233,1.0087182553992786,0.3662870008538926,0.4687973535329724,0.4669234471595754,0.957323951120304,1.0604976356786235,1.0504458387046032,0.3110105145626916,0.2506890101465138,0.21306227663781904,0.19781289476747377,0.17873352529759567,0.0018441821929744417,0.8792967557095006,0.32021053908177266,0.5023325907391223,0.5166961351202788,0.08154083043554738,0.5377012608795222,0.7721746381510302,0.3143359555169989,0.17418035550907263,0.1,0.5710520499037187,0.13788243031153327,0.8488857277543648,0.6268264044317687,0.28892300557808615,0.9089262813278692,0.43422169256121146,0.234134150575378,0.881366456611439,0.5119227587060775,0.4789110534870715,0.012960550734828935,0.6693659422142104,0.2796501034928819
14,EventType.Ball,0.3797379448558824,True,0.26492576121478706,0.4059410416802849,0.9553603905578822,0.806761666197588,,,,,,,,,,,,,,,,,,0.9535134766397051,0.5024106807679609,0.7586588394517786,0.5674503101498585,0.6748439619681941,0.6305034800523104,0.4593815269177984,0.540066251980097,0.7801343330747577,0.9759685540381304,0.6498944436385159,0.5032462560376627,0.1,1.1132992228366232,0.5457464277287041,0.39109767751924945,0.7729467844458233,1.0087182553992786,0.3662870008538926,0.4687973535329724,0.4669234471595754,0.957323951120304,1.0604976356786235,1.0504458387046032,0.3110105145626916,0.2506890101465138,0.21306227663781904,0.19781289476747377,0.17873352529759567,0.0018441821929744417,0.8792967557095006,0.32021053908177266,0.5023325907391223,0.5166961351202788,0.08154083043554738,0.5377012608795222,0.7721746381510302,0.3143359555169989,0.17418035550907263,0.1,0.5710520499037187,0.13788243031153327,0.8488857277543648,0.6268264044317687,0.28892300557808615,0.9089262813278692,0.43422169256121146,0.234134150575378,0.881366456611439,0.5119227587060775,0.4789110534870715,0.012960550734828935,0.6693659422142104,0.2796501034928819
15,EventType.Weather,0.0427953346085197,False,,,,,,,,,,,,,,,,,0.4378390708016926,0.9776445034154784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,EventType.StrikeLooking,0.6983168388623027,False,0.46023252481954113,0.5651665142423439,0.16416332846328752,0.6475010064507836,,,,,,,,,,,,,,,,,,0.9535134766397051,0.5024106807679609,0.7586588394517786,0.5674503101498585,0.6748439619681941,0.6305034800523104,0.4593815269177984,0.540066251980097,0.7801343330747577,0.9759685540381304,0.6498944436385159,0.5032462560376627,0.1,1.1132992228366232,0.5457464277287041,0.39109767751924945,0.7729467844458233,1.0087182553992786,0.3662870008538926,0.4687973535329724,0.4669234471595754,0.957323951120304,1.0604976356786235,1.0504458387046032,0.3110105145626916,0.2506890101465138,0.21306227663781904,0.19781289476747377,0.17873352529759567,0.0018441821929744417,0.8792967557095006,0.32021053908177266,0.5023325907391223,0.5166961351202788,0.08154083043554738,0.5377012608795222,0.7721746381510302,0.3143359555169989,0.17418035550907263,0.1,0.5710520499037187,0.13788243031153327,0.8488857277543648,0.6268264044317687,0.28892300557808615,0.9089262813278692,0.43422169256121146,0.234134150575378,0.881366456611439,0.5119227587060775,0.4789110534870715,0.012960550734828935,0.6693659422142104,0.2796501034928819
17,EventType.HomeRun,0.4287546065569887,False,0.10697248543971427,,0.26150741629372387,0.3405716487890431,0.3278495400162029,0.6800629696133433,0.05561756519072181,0.08679899112813261,0.08040321458569055,,,,,,,,,,,,,0.6380607077085325,0.6012156325812277,0.3342214148454121,0.932083503800955,0.7727426880749548,0.9475580276271998,0.14994026028438823,0.8091085086644214,0.019418350295704156,0.22668825919661995,0.8500137214628332,0.024924385338196187,0.1,0.8027334753468993,0.21980633574237562,0.18076596943886303,0.9818977030776723,0.33885604312700823,0.6935318840732521,0.5786502897209715,0.15057146695274182,0.28382146079350634,0.26047541785724104,0.7116697710770961,0.7284504542962638,0.5660727501850884,0.3519136963245232,0.9706643954623206,0.6245762864428941,0.8009595473173601,0.21515290717797764,0.1788722089641026,0.36917796934116986,0.3427064590855966,0.7965069724560563,0.9508661549621495,0.5230133223380473,0.8028596318468693,0.8503735744711147,0.1,0.22343980794689436,0.2691181491717106,0.9705582516530392,0.3477948418685758,0.3774542154308068,0.18942835710465236,1.1158698619476535,0.553345170849494,0.6789983858504459,1.060795454409289,0.7007119757800672,0.9056106219154152,0.38907423388214424,-0.4583080054172959
18,EventType.Ball,0.13162282633188016,False,0.6208566951066523,,0.9179293316543304,0.2886575748713087,,,,,,,,,,,,,,,,,,0.6881608779772133,0.5442674665353882,0.1113931126784331,0.4504530301818952,0.38826633090862406,0.3436859088893147,0.4575293895271839,0.7096724426217023,0.9635061277759058,0.920975525282169,0.8213683139336194,0.10702240993911794,0.1,0.9760781845710607,0.8331035959224848,0.0864841018442375,0.12222121477696035,0.056625369509144985,0.6758939904130465,0.3355958417844891,0.49975079624198293,0.9009614943703097,0.7485772552468877,0.7748986032534493,0.2231236998406787,0.8701273637843034,0.7422412830837246,0.9706643954623206,0.6245762864428941,0.8009595473173601,0.21515290717797764,0.1788722089641026,0.36917796934116986,0.3427064590855966,0.7965069724560563,0.9508661549621495,0.5230133223380473,0.8028596318468693,0.8503735744711147,0.1,0.22343980794689436,0.2691181491717106,0.9705582516530392,0.3477948418685758,0.3774542154308068,0.18942835710465236,1.1158698619476535,0.553345170849494,0.6789983858504459,1.060795454409289,0.7007119757800672,0.9056106219154152,0.38907423388214424,-0.4583080054172959
19,EventType.Ball,0.38616184401132947,False,0.14327868913483965,,0.8991452010089585,0.6637230419622242,,,,,,,,,,,,,,,,,,0.6881608779772133,0.5442674665353882,0.1113931126784331,0.4504530301818952,0.38826633090862406,0.3436859088893147,0.4575293895271839,0.7096724426217023,0.9635061277759058,0.920975525282169,0.8213683139336194,0.10702240993911794,0.1,0.9760781845710607,0.8331035959224848,0.0864841018442375,0.12222121477696035,0.056625369509144985,0.6758939904130465,0.3355958417844891,0.49975079624198293,0.9009614943703097,0.7485772552468877,0.7748986032534493,0.2231236998406787,0.8701273637843034,0.7422412830837246,0.9706643954623206,0.6245762864428941,0.8009595473173601,0.21515290717797764,0.1788722089641026,0.36917796934116986,0.3427064590855966,0.7965069724560563,0.9508661549621495,0.5230133223380473,0.8028596318468693,0.8503735744711147,0.1,0.22343980794689436,0.2691181491717106,0.9705582516530392,0.3477948418685758,0.3774542154308068,0.18942835710465236,1.1158698619476535,0.553345170849494,0.6789983858504459,1.060795454409289,0.7007119757800672,0.9056106219154152,0.38907423388214424,-0.4583080054172959
20,EventType.HomeRun,0.9337698078965273,False,0.35964536026444716,,0.02455839017615924,0.3869782953005214,0.5532408845491863,0.29930575293662964,0.8504570836841066,0.669888883053088,0.12222807738038344,0.8110670426791293,,,,,0.22823404265662162,,,,,,,0.6881608779772133,0.5442674665353882,0.1113931126784331,0.4504530301818952,0.38826633090862406,0.3436859088893147,0.4575293895271839,0.7096724426217023,0.9635061277759058,0.920975525282169,0.8213683139336194,0.10702240993911794,0.1,0.9760781845710607,0.8331035959224848,0.0864841018442375,0.12222121477696035,0.056625369509144985,0.6758939904130465,0.3355958417844891,0.49975079624198293,0.9009614943703097,0.7485772552468877,0.7748986032534493,0.2231236998406787,0.8701273637843034,0.7422412830837246,0.9706643954623206,0.6245762864428941,0.8009595473173601,0.21515290717797764,0.1788722089641026,0.36917796934116986,0.3427064590855966,0.7965069724560563,0.9508661549621495,0.5230133223380473,0.8028596318468693,0.8503735744711147,0.1,0.22343980794689436,0.2691181491717106,0.9705582516530392,0.3477948418685758,0.3774542154308068,0.18942835710465236,1.1158698619476535,0.553345170849494,0.6789983858504459,1.060795454409289,0.7007119757800672,0.9056106219154152,0.38907423388214424,-0.4583080054172959
21,EventType.StrikeLooking,0.1539092947860765,False,0.18123191313485876,,0.23471727458994995,0.9701708453618243,,,,,,,,,,,,,,,,,,0.9232698823684895,0.14707231919406483,0.9887395151373446,0.5654569009659876,0.7473054912709327,0.99386737583087,0.13184027414733923,0.16854679051142307,0.7324106328213644,0.8767260835374231,0.5584378046837029,0.700769408550411,0.1,0.8753409934115801,0.7326140986691405,0.004114908441360754,0.009299483557885457,0.8235163473239724,0.9262856531747925,0.20197356318462312,0.21777006372639263,0.2975493239804461,0.39378513366103896,0.17938947913221948,0.24853449628553115,0.6682287800242905,0.034432083247125655,0.9706643954623206,0.6245762864428941,0.8009595473173601,0.21515290717797764,0.1788722089641026,0.36917796934116986,0.3427064590855966,0.7965069724560563,0.9508661549621495,0.5230133223380473,0.8028596318468693,0.8503735744711147,0.1,0.22343980794689436,0.2691181491717106,0.9705582516530392,0.3477948418685758,0.3774542154308068,0.18942835710465236,1.1158698619476535,0.553345170849494,0.6789983858504459,1.060795454409289,0.7007119757800672,0.9056106219154152,0.38907423388214424,-0.4583080054172959
22,EventType.StrikeLooking,0.9975711382790267,False,0.5748000834643474,,0.0803260173829845,0.8567307427962356,,,,,,,,,,,,,,,,,,0.9232698823684895,0.14707231919406483,0.9887395151373446,0.5654569009659876,0.7473054912709327,0.99386737583087,0.13184027414733923,0.16854679051142307,0.7324106328213644,0.8767260835374231,0.5584378046837029,0.700769408550411,0.1,0.8753409934115801,0.7326140986691405,0.004114908441360754,0.009299483557885457,0.8235163473239724,0.9262856531747925,0.20197356318462312,0.21777006372639263,0.2975493239804461,0.39378513366103896,0.17938947913221948,0.24853449628553115,0.6682287800242905,0.034432083247125655,0.9706643954623206,0.6245762864428941,0.8009595473173601,0.21515290717797764,0.1788722089641026,0.36917796934116986,0.3427064590855966,0.7965069724560563,0.9508661549621495,0.5230133223380473,0.8028596318468693,0.8503735744711147,0.1,0.22343980794689436,0.2691181491717106,0.9705582516530392,0.3477948418685758,0.3774542154308068,0.18942835710465236,1.1158698619476535,0.553345170849494,0.6789983858504459,1.060795454409289,0.7007119757800672,0.9056106219154152,0.38907423388214424,-0.4583080054172959
23,EventType.StrikeSwinging,0.09425320800331516,False,0.4832657766770998,,0.6587167732471675,0.08127376802592257,0.7384502894214517,,,,,,,,,,,,,,,,,0.9232698823684895,0.14707231919406483,0.9887395151373446,0.5654569009659876,0.7473054912709327,0.99386737583087,0.13184027414733923,0.16854679051142307,0.7324106328213644,0.8767260835374231,0.5584378046837029,0.700769408550411,0.1,0.8753409934115801,0.7326140986691405,0.004114908441360754,0.009299483557885457,0.8235163473239724,0.9262856531747925,0.20197356318462312,0.21777006372639263,0.2975493239804461,0.39378513366103896,0.17938947913221948,0.24853449628553115,0.6682287800242905,0.034432083247125655,0.9706643954623206,0.6245762864428941,0.8009595473173601,0.21515290717797764,0.1788722089641026,0.36917796934116986,0.3427064590855966,0.7965069724560563,0.9508661549621495,0.5230133223380473,0.8028596318468693,0.8503735744711147,0.1,0.22343980794689436,0.2691181491717106,0.9705582516530392,0.3477948418685758,0.3774542154308068,0.18942835710465236,1.1158698619476535,0.553345170849494,0.6789983858504459,1.060795454409289,0.7007119757800672,0.9056106219154152,0.38907423388214424,-0.4583080054172959
24,EventType.Weather,0.03825781406967743,False,,,,,,,,,,,,,,,,,0.8860707966311205,0.6586710528937767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,EventType.StrikeLooking,0.5555034598773938,False,0.9008195103230887,,0.2495255876742617,0.9225883732185589,,,,,,,,,,,,,,,,,,0.7022587362242676,0.5360370270065851,0.8088506413301586,0.5447317125995685,0.11442725041778212,0.885056788414295,0.5019813176944115,0.4382731998927134,0.6543010879309619,0.7703597631858468,0.753369168572978,0.4202046908759163,0.1,0.31166628366763294,0.13795257315612175,0.01868622392277075,0.6372037551038263,0.37844917513768594,0.2081516937847605,0.1416787439634557,0.40498965542256404,0.17502324988546447,0.7347059210128348,0.21087225020173306,0.7609978072552137,0.6277302593031564,0.3979864526458561,0.9706643954623206,0.6245762864428941,0.8009595473173601,0.21515290717797764,0.1788722089641026,0.36917796934116986,0.3427064590855966,0.7965069724560563,0.9508661549621495,0.5230133223380473,0.8028596318468693,0.8503735744711147,0.1,0.22343980794689436,0.2691181491717106,0.9705582516530392,0.3477948418685758,0.3774542154308068,0.18942835710465236,1.1158698619476535,0.553345170849494,0.6789983858504459,1.060795454409289,0.7007119757800672,0.9056106219154152,0.38907423388214424,-0.4583080054172959
26,EventType.HomeRun,0.21942603956571216,False,0.7352908593869631,,0.13434048297525392,0.5375417581603856,0.6429681849580264,0.5393034997580046,0.0751314450419347,0.9582100419667614,0.06625997577892151,0.6126928894703603,,,,,0.3287751488492503,,,,,,,0.7022587362242676,0.5360370270065851,0.8088506413301586,0.5447317125995685,0.11442725041778212,0.885056788414295,0.5019813176944115,0.4382731998927134,0.6543010879309619,0.7703597631858468,0.753369168572978,0.4202046908759163,0.1,0.31166628366763294,0.13795257315612175,0.01868622392277075,0.6372037551038263,0.37844917513768594,0.2081516937847605,0.1416787439634557,0.40498965542256404,0.17502324988546447,0.7347059210128348,0.21087225020173306,0.7609978072552137,0.6277302593031564,0.3979864526458561,0.9706643954623206,0.6245762864428941,0.8009595473173601,0.21515290717797764,0.1788722089641026,0.36917796934116986,0.3427064590855966,0.7965069724560563,0.9508661549621495,0.5230133223380473,0.8028596318468693,0.8503735744711147,0.1,0.22343980794689436,0.2691181491717106,0.9705582516530392,0.3477948418685758,0.3774542154308068,0.18942835710465236,1.1158698619476535,0.553345170849494,0.6789983858504459,1.060795454409289,0.7007119757800672,0.9056106219154152,0.38907423388214424,-0.4583080054172959
27,EventType.StrikeSwinging,0.28493798002789616,False,0.7798321479165073,,0.794749530102006,0.05452466063970496,0.6949003298750478,,,,,,,,,,,,,,,,,0.6949999691666375,0.21847893618360725,0.6988008268552313,0.08766872597987896,0.4589637303345073,0.7636715920818513,0.9716688761224026,0.4060984087240962,0.6832047932250018,0.42622108945969606,0.34023923654578336,0.5337063906006141,0.1,0.9165470207578321,0.027565210773816684,0.5582072005100558,0.42777417805875917,0.6391487424170927,0.3210712206419353,0.32034040121857277,0.3521098481919861,1.1444423319354664,0.4085117290782997,0.4851822986456432,0.28545395980628685,0.02002247909817023,-0.2279464625365845,0.19781289476747377,0.17873352529759567,0.0018441821929744417,0.8792967557095006,0.32021053908177266,0.5023325907391223,0.5166961351202788,0.08154083043554738,0.5377012608795222,0.7721746381510302,0.3143359555169989,0.17418035550907263,0.1,0.5710520499037187,0.13788243031153327,0.8488857277543648,0.6268264044317687,0.28892300557808615,0.9089262813278692,0.43422169256121146,0.234134150575378,0.881366456611439,0.5119227587060775,0.4789110534870715,0.012960550734828935,0.6693659422142104,0.2796501034928819
28,EventType.Ball,0.6699050236698507,False,0.5321665851770998,,0.7925180092580648,0.526487322570764,,,,,,,,,,,,,,,,,,0.6949999691666375,0.21847893618360725,0.6988008268552313,0.08766872597987896,0.4589637303345073,0.7636715920818513,0.9716688761224026,0.4060984087240962,0.6832047932250018,0.42622108945969606,0.34023923654578336,0.5337063906006141,0.1,0.9165470207578321,0.027565210773816684,0.5582072005100558,0.42777417805875917,0.6391487424170927,0.3210712206419353,0.32034040121857277,0.3521098481919861,1.1444423319354664,0.4085117290782997,0.4851822986456432,0.28545395980628685,0.02002247909817023,-0.2279464625365845,0.19781289476747377,0.17873352529759567,0.0018441821929744417,0.8792967557095006,0.32021053908177266,0.5023325907391223,0.5166961351202788,0.08154083043554738,0.5377012608795222,0.7721746381510302,0.3143359555169989,0.17418035550907263,0.1,0.5710520499037187,0.13788243031153327,0.8488857277543648,0.6268264044317687,0.28892300557808615,0.9089262813278692,0.43422169256121146,0.234134150575378,0.881366456611439,0.5119227587060775,0.4789110534870715,0.012960550734828935,0.6693659422142104,0.2796501034928819
