,ID,Name,Day,X,Y,edensity
1637,9494152b-99f6-4adb-9573-f9e084bc813f,Crabs Old,83,0.778752995136274,0.9664571085449796,608.6059054673186
1638,9494152b-99f6-4adb-9573-f9e084bc813f,Crabs Old,84,0.8345783804549771,0.8812380621148672,608.6059054673186
1639,9494152b-99f6-4adb-9573-f9e084bc813f,Crabs Old,85,0.896880801350324,0.9431426021947076,608.6059054673186
1640,9494152b-99f6-4adb-9573-f9e084bc813f,Crabs Old,86,0.9591826454540268,1.0,608.6059054673186
1641,9494152b-99f6-4adb-9573-f9e084bc813f,Crabs Old,87,0.950591671559978,0.9913770291187056,608.6059054673186
1642,9494152b-99f6-4adb-9573-f9e084bc813f,Crabs Old,88,0.9420006976659292,0.9827540582374112,608.6059054673186
1643,9494152b-99f6-4adb-9573-f9e084bc813f,Crabs Old,89,0.9334097237718804,0.9741310873561168,608.6059054673186
1644,9494152b-99f6-4adb-9573-f9e084bc813f,Crabs Old,90,0.9248187498778316,0.9655081164748224,608.6059054673186
1645,9494152b-99f6-4adb-9573-f9e084bc813f,Crabs Old,91,0.916227775983783,0.956885145593528,608.6059054673186
1646,9494152b-99f6-4adb-9573-f9e084bc813f,Crabs Old,92,0.9785059011678372,1.0,608.6059054673186
1647,9494152b-99f6-4adb-9573-f9e084bc813f,Crabs Old,93,0.9998629266891788,1.0,608.6059054673186
1648,b6b5df8f-5602-4883-b47d-07e77ed9d5af,Excavators,73,0.944951078744628,0.96920723487244,0.0
1649,b6b5df8f-5602-4883-b47d-07e77ed9d5af,Excavators,74,0.9370391085446416,0.961277730196231,0.0
1650,b6b5df8f-5602-4883-b47d-07e77ed9d5af,Excavators,75,0.9291271383446552,0.953348225520022,560.0810585430823
1651,b6b5df8f-5602-4883-b47d-07e77ed9d5af,Excavators,76,0.8441821650707789,1.0,560.0810585430823
1652,b6b5df8f-5602-4883-b47d-07e77ed9d5af,Excavators,77,0.7593676587940845,1.0,560.0810585430823
1653,b6b5df8f-5602-4883-b47d-07e77ed9d5af,Excavators,78,0.7515349892936778,0.9919921535134036,560.0810585430823
1654,b6b5df8f-5602-4883-b47d-07e77ed9d5af,Excavators,79,0.7437023197932711,0.9839843070268072,560.0810585430823
1655,b6b5df8f-5602-4883-b47d-07e77ed9d5af,Excavators,80,0.7358696502928643,0.9759764605402106,560.0810585430823
1656,b6b5df8f-5602-4883-b47d-07e77ed9d5af,Excavators,81,0.7280369807924576,0.967968614053614,560.0810585430823
1657,b6b5df8f-5602-4883-b47d-07e77ed9d5af,Excavators,82,0.7202043112920509,0.9599607675670176,560.0810585430823
1658,b6b5df8f-5602-4883-b47d-07e77ed9d5af,Excavators,83,0.7123716417916441,0.9519529210804212,560.0810585430823
1659,b6b5df8f-5602-4883-b47d-07e77ed9d5af,Excavators,84,0.7045389722912374,0.9439450745938248,560.0810585430823
1660,b6b5df8f-5602-4883-b47d-07e77ed9d5af,Excavators,85,0.6967063027908307,0.9359372281072282,560.0810585430823
1661,b6b5df8f-5602-4883-b47d-07e77ed9d5af,Excavators,86,0.688873633290424,0.9279293816206318,560.0810585430823
