,Team,Day,X,Y,corrected_speed,speed,edensity
309,Georgias,77,-1.0,1.0,0.0009803348741510298,1.4142135623730951,49.016743707551484
310,Georgias,78,-1.0,1.0,0.0010999691221657976,1.4142135623730951,54.99845610828987
311,Georgias,79,-1.0,1.0,0.0010877639611254722,1.4142135623730951,54.38819805627361
342,Jazz Hands,58,0.8028162424767511,0.7955999855638661,,1.1302624722663819,1061.386628105292
343,Jazz Hands,59,0.8478615659779616,0.8596997819616348,0.0993201955370107,1.2074572249845887,1060.7805703144618
344,Jazz Hands,60,0.8970240491643626,0.920103763106398,0.09933734082071105,1.285007034868597,1076.6730060153882
345,Jazz Hands,61,0.9392436088904376,0.9855014105637492,0.09941107570474496,1.3613932521739163,1095.595120388999
346,Jazz Hands,62,0.9942455976650528,1.0,0.07687327091493405,1.4101504559713969,1110.3709039479681
347,Jazz Hands,63,1.0,1.0,0.026925195967514234,1.4142135623730951,1127.3494155337667
348,Jazz Hands,64,1.0,0.9131173823246088,0.07311798603661579,1.3541725716847708,1129.03785303624
349,Jazz Hands,65,1.0,0.9480675221390356,0.053523717067355606,1.3779811415744596,1146.0433138970639
350,Jazz Hands,66,1.0,1.0,0.07015019249089728,1.4142135623730951,1152.4537550459668
351,Jazz Hands,67,1.0,1.0,0.02342320830568715,1.4142135623730951,1171.1604152843574
352,Jazz Hands,68,1.0,1.0,0.023552026970845352,1.4142135623730951,1177.6013485422677
353,Jazz Hands,69,1.0,1.0,0.023863821316204237,1.4142135623730951,1193.191065810212
354,Jazz Hands,70,0.9056368810466346,1.0,0.0796498699543269,1.349139785312062,1207.191065810212
355,Jazz Hands,71,0.9461533809656432,1.0,0.059960108880328156,1.3766648903464915,1210.191065810212
356,Jazz Hands,72,0.8890802632892577,1.0,0.0441279757440899,1.3380821030753292,1208.191065810212
357,Jazz Hands,73,0.8711642430115927,1.0,0.017741866960756508,1.3262455045360046,1211.1964668632704
358,Jazz Hands,74,0.9236201922506956,1.0,0.07153593455966539,1.3612767020459917,1218.3078610684893
359,Jazz Hands,75,0.8378907295828215,0.9087702680321988,0.10045679899333868,1.2360923407173703,1236.7477021441841
360,Jazz Hands,76,0.8909082525618205,0.9611466593448226,0.09933659623375249,1.3105420310896057,1240.798455263096
361,Jazz Hands,77,0.94376765482504,1.0,0.09055402638900757,1.3750263220367658,1260.0740893098541
362,Jazz Hands,78,0.9965662047118394,1.0,0.07305592175329864,1.4117875903880726,1273.7349068911285
363,Jazz Hands,79,1.0,1.0,0.028247306188369622,1.4142135623730951,1285.7349068911285
394,Lift,58,-0.941049141437966,-1.0,,1.373161857393779,1288.3715878094283
395,Lift,59,-1.0,-1.0,,1.4142135623730951,1301.3160241245762
396,Lift,60,-1.0,-1.0,,1.4142135623730951,1304.2493615566036
397,Lift,61,-1.0,-1.0,,1.4142135623730951,1309.2493615566036
398,Lift,62,-1.0,-1.0,,1.4142135623730951,1320.2493615566036
399,Lift,63,-0.9481796705117908,-0.9481796705117908,0.09969000000000001,1.3409285496042271,1320.2493615566036
400,Lift,64,-1.0,-1.0,,1.4142135623730951,1336.7493615566036
401,Lift,65,-1.0,-1.0,,1.4142135623730951,1335.7493615566036
402,Lift,66,-1.0,-1.0,,1.4142135623730951,1351.7493615566036
403,Lift,67,-1.0,-1.0,,1.4142135623730951,1353.0879423110728
404,Lift,68,-0.942622397844696,-1.0,0.08487851746752272,1.3742405120350965,1375.0457656109375
405,Lift,69,-0.962614352607006,-1.0,0.007871528069433927,1.3880296797421174,1393.1741415871948
406,Lift,70,-1.0,-1.0,,1.4142135623730951,1410.1741415871948
407,Lift,71,-1.0,-1.0,,1.4142135623730951,1409.1741415871948
408,Lift,72,-1.0,-1.0,,1.4142135623730951,1408.8741415871946
409,Lift,73,-1.0,-1.0,,1.4142135623730951,1411.1661165986527
410,Lift,74,-1.0,-1.0,,1.4142135623730951,1427.9091741502393
411,Lift,75,-0.949692607337586,-0.949692607337586,0.09974000000000015,1.3430681653822805,1429.7301504592754
412,Lift,76,-1.0,-1.0,,1.4142135623730951,1429.7301504592754
413,Lift,77,-1.0,-1.0,,1.4142135623730951,1442.7301504592754
414,Lift,78,-1.0,-1.0,,1.4142135623730951,1442.7301504592754
415,Lift,79,-1.0,-1.0,,1.4142135623730951,1439.7301504592754
446,Lovers,58,1.0,-0.8556976172719605,,1.3161376874039095,401.8525542506035
447,Lovers,59,1.0,-0.9164459000391656,0.06097889179525418,1.3564192153234178,420.4714518844163
448,Lovers,60,1.0,-0.8775567006567234,0.040511257569316166,1.3304532170908958,460.9196490591178
449,Lovers,61,1.0,-0.9544418179233009,0.07722384681597824,1.382374473071872,459.25475775301334
450,Lovers,62,1.0,-1.0,0.046535094114380164,1.4142135623730951,474.25475775301334
451,Lovers,63,0.9213925413079403,-0.935719246627842,0.09440050818150215,1.3132154140458756,489.25475775301334
452,Lovers,64,0.914886914737782,-0.8424372758777853,,1.243671431909088,
453,Lovers,65,0.9771036523648344,-0.9203185921595778,,1.3422808419027987,
454,Lovers,66,0.8992156020647049,-0.855369430859726,,1.2410663005036762,
455,Lovers,67,0.8200891492057231,-0.7917429402368314,,1.1399136353513057,
456,Lovers,68,0.7410496895448353,-0.728134261654031,,1.0389100756894014,
457,Lovers,69,0.8033840997606573,-0.8060835093249379,,1.1380670611848183,
458,Lovers,70,0.7244308676897862,-0.7423659883882161,,1.0372595349175584,
459,Lovers,71,0.6885459202037206,-0.6535375695910237,,0.94931914501717,
460,Lovers,72,0.6090360204465795,-0.5905360007220131,,0.8483263772571001,
461,Lovers,73,0.5293796035879533,-0.5277665876407422,,0.7475161106791558,
462,Lovers,74,0.5740477169496433,-0.4508135051560232,,0.7299065678332793,
463,Lovers,75,0.494512142875288,-0.3881148749134006,,0.6286297921512739,
464,Lovers,76,0.4079419226232901,-0.3334418450873698,,0.5268776672899089,
465,Lovers,77,0.3282091827594684,-0.2711444764370302,,0.4257236130988618,
466,Lovers,78,0.2485474397611624,-0.2088773203917017,,0.3246622318438753,
467,Lovers,79,0.1693499433874578,-0.1462662717963858,,0.22377047524315927,
498,Magic,58,0.9429972357237542,-0.9174972731352397,,1.315691845681671,-258.04246067603833
499,Magic,59,0.9166740875713736,-0.819249799073735,,1.2294151520569305,
500,Magic,60,0.8440021223187941,-0.7513434595849264,,1.1299807860046447,
501,Magic,61,0.8531346621990449,-0.6493789499104541,,1.0721621950210156,
502,Magic,62,0.8402691891973697,-0.5484013817343353,,1.003392438581502,
