unthwck,omni,contact,hit_rate
0.09,0.51,33,0.363636363636364
1.32,0.68,33,0.303030303030303
1.23,0.52,33,0.303030303030303
0.21,0.69,33,0.363636363636364
0.73,0.76,33,0.303030303030303
0.63,0.73,33,0.272727272727273
0,0.47,33,0.393939393939394
1.15,0.75,34,0.205882352941176
0.42,0.61,34,0.323529411764706
0.64,0.57,34,0.235294117647059
0.14,0.85,34,0.323529411764706
0.49,0.61,34,0.382352941176471
1.16,0.34,34,0.470588235294118
1.16,0.33,34,0.323529411764706
1.25,0.53,34,0.382352941176471
0.65,0.64,34,0.382352941176471
0.31,0.42,34,0.235294117647059
0.95,0.73,34,0.382352941176471
1.15,0.67,34,0.205882352941176
0.38,0.62,34,0.441176470588235
0.92,0.68,34,0.264705882352941
1.03,0.85,34,0.176470588235294
0.8,0.35,34,0.411764705882353
0.88,0.56,35,0.314285714285714
0.29,0.55,35,0.342857142857143
1.05,0.84,35,0.342857142857143
1.06,0.69,35,0.342857142857143
1.21,0.61,35,0.228571428571429
1.07,0.78,35,0.085714285714286
1.6,0.63,35,0.314285714285714
0.41,0.3,35,0.428571428571429
0.81,0.71,35,0.457142857142857
0.82,0.57,35,0.342857142857143
1.21,0.36,36,0.333333333333333
1,0.52,36,0.444444444444444
1.02,0.56,36,0.222222222222222
1.25,0.71,36,0.222222222222222
0.75,0.66,36,0.277777777777778
0.1,0.6,36,0.305555555555556
0.32,0.58,36,0.277777777777778
1.52,0.72,36,0.277777777777778
0.87,0.56,36,0.25
0.87,0.8,36,0.305555555555556
1.22,0.85,37,0.135135135135135
0.96,0.88,37,0.243243243243243
0.09,0.59,37,0.216216216216216
0.61,0.78,37,0.243243243243243
0.15,0.67,37,0.324324324324324
0.98,0.54,37,0.405405405405405
0.83,0.75,37,0.216216216216216
0.77,0.82,37,0.351351351351351
1.41,0.63,37,0.216216216216216
0.7,0.62,37,0.324324324324324
1.2,0.5,37,0.324324324324324
1.04,0.43,37,0.351351351351351
0.08,0.56,37,0.432432432432432
0.88,0.35,37,0.378378378378378
0.81,0.8,38,0.236842105263158
0.74,0.75,38,0.105263157894737
0.33,0.5,38,0.342105263157895
0.6,0.68,38,0.18421052631579
0.89,0.51,38,0.368421052631579
1.15,0.57,38,0.236842105263158
0.64,0.8,38,0.342105263157895
1.04,0.66,38,0.263157894736842
1.37,0.58,38,0.289473684210526
0.66,0.78,38,0.289473684210526
0.24,0.55,38,0.473684210526316
0.32,0.77,38,0.447368421052632
1.12,0.68,38,0.421052631578947
0.29,0.56,39,0.512820512820513
0.08,0.57,39,0.538461538461538
1.23,0.8,39,0.230769230769231
0.12,0.53,39,0.41025641025641
0.32,0.57,39,0.41025641025641
0.04,0.56,39,0.435897435897436
0.16,0.58,39,0.41025641025641
0.62,0.66,40,0.225
1.2,0.56,40,0.3
0.6,0.61,40,0.35
0.93,0.86,40,0.325
1.17,0.55,40,0.125
0.89,0.88,40,0.225
0.97,0.81,41,0.390243902439024
0.92,0.47,41,0.341463414634146
0.28,0.56,41,0.341463414634146
1.24,0.54,41,0.268292682926829
0.35,0.64,41,0.341463414634146
0.36,0.54,41,0.341463414634146
0.68,0.8,41,0.317073170731707
1.05,0.79,41,0.195121951219512
0.17,0.49,41,0.414634146341463
0.46,0.65,41,0.439024390243902
0.96,0.75,41,0.365853658536585
0.07,0.64,42,0.333333333333333
0.18,0.59,42,0.261904761904762
0.94,0.78,42,0.214285714285714
0.76,0.6,42,0.214285714285714
0.08,0.43,42,0.476190476190476
0.18,0.62,42,0.380952380952381
0.25,0.52,42,0.5
0.18,0.36,42,0.5
1.08,0.63,42,0.166666666666667
1.16,0.42,43,0.232558139534884
0.77,0.76,43,0.27906976744186
0.13,0.29,43,0.325581395348837
0.37,0.63,43,0.325581395348837
0.36,0.35,43,0.325581395348837
0.51,0.39,43,0.325581395348837
0.89,0.63,43,0.325581395348837
0.56,0.82,43,0.302325581395349
1.02,0.58,43,0.348837209302326
0.47,0.61,43,0.325581395348837
0.72,0.7,43,0.209302325581395
1.79,0.58,43,0.232558139534884
0.18,0.75,43,0.488372093023256
1.17,0.57,43,0.232558139534884
0.58,0.52,44,0.318181818181818
1.09,0.59,44,0.204545454545454
0.51,0.76,44,0.295454545454545
0.41,0.41,44,0.227272727272727
0.82,0.59,44,0.386363636363636
0.97,0.54,44,0.25
0.83,0.63,44,0.363636363636364
1.03,0.72,44,0.272727272727273
0.75,0.6,44,0.409090909090909
0.98,0.52,44,0.318181818181818
0.81,0.52,45,0.333333333333333
0.84,0.42,45,0.288888888888889
0.89,0.56,45,0.377777777777778
0.48,0.84,45,0.377777777777778
0.33,0.34,45,0.511111111111111
0.86,0.5,45,0.466666666666667
0.86,0.76,45,0.288888888888889
0.94,0.53,46,0.391304347826087
0.56,0.77,46,0.478260869565217
0.64,0.72,46,0.239130434782609
0.86,0.57,46,0.326086956521739
1.06,0.3,46,0.239130434782609
1.23,0.66,46,0.260869565217391
1.48,0.74,46,0.239130434782609
0.83,0.48,46,0.391304347826087
1.26,0.68,46,0.304347826086957
0.4,0.4,46,0.41304347826087
1.14,0.5,46,0.260869565217391
1.2,0.73,47,0.382978723404255
1.1,0.55,47,0.319148936170213
0.76,0.5,47,0.276595744680851
0.37,0.74,47,0.361702127659574
1.16,0.57,47,0.276595744680851
0.48,0.51,47,0.297872340425532
0.35,0.71,47,0.468085106382979
0.98,0.86,47,0.212765957446808
1.21,0.39,47,0.361702127659574
0.55,0.71,47,0.404255319148936
0.06,0.51,47,0.446808510638298
0.32,0.48,47,0.25531914893617
0.31,0.68,47,0.319148936170213
0.74,0.78,48,0.333333333333333
