,event_type,roll,passed,batter_name,batter_buoyancy,batter_divinity,batter_martyrdom,batter_moxie,batter_musclitude,batter_patheticism,batter_thwackability,batter_tragicness,pitcher_name,pitcher_ruthlessness,pitcher_overpowerment,pitcher_unthwackability,pitcher_shakespearianism,pitcher_suppression,pitcher_coldness,pitcher_chasiness,defense_avg_anticapitalism,defense_avg_chasiness,defense_avg_omniscience,defense_avg_tenaciousness,defense_avg_watchfulness,ballpark_grandiosity,ballpark_fortification,ballpark_obtuseness,ballpark_ominousness,ballpark_inconvenience,ballpark_viscosity,ballpark_forwardness,ballpark_mysticism,ballpark_elongation,batting_team_hype,pitching_team_hype,batter_vibes,pitcher_vibes
10,StrikeLooking,0.7420831849276777,True,Scores Baserunner,0.5065727976208985,1.097225802605196,0.5765559778251015,0.6335656344806517,0.7555867814612975,0.0010500000000000002,1.3187287616708383,0.0010500000000000002,Grollis Zephyr,0.7403085464916612,0.7258438153861636,0.701883258663973,0.8557099962002905,0.2640535744685947,0.5486849381450271,0.45624091722676324,0.7860633253179856,0.6295049402707398,0.5835637774802621,0.6024715328756806,0.649922492425556,0.3589449382287126,0.5342454937183025,0.788150918175329,0.4916090708870058,0.5829381489066005,0.40082749594224687,0.4856451813964252,0.5754439841690367,0.46962979829218765,0.0,0.0,0.060518948252170746,-0.08033297660785854
11,Ball,0.012899248789421947,False,Scores Baserunner,0.5065727976208985,1.097225802605196,0.5765559778251015,0.6335656344806517,0.7555867814612975,0.0010500000000000002,1.3187287616708383,0.0010500000000000002,Grollis Zephyr,0.7403085464916612,0.7258438153861636,0.701883258663973,0.8557099962002905,0.2640535744685947,0.5486849381450271,0.45624091722676324,0.7860633253179856,0.6295049402707398,0.5835637774802621,0.6024715328756806,0.649922492425556,0.3589449382287126,0.5342454937183025,0.788150918175329,0.4916090708870058,0.5829381489066005,0.40082749594224687,0.4856451813964252,0.5754439841690367,0.46962979829218765,0.0,0.0,0.060518948252170746,-0.08033297660785854
12,Ball,0.5489667325429222,False,Scores Baserunner,0.5065727976208985,1.097225802605196,0.5765559778251015,0.6335656344806517,0.7555867814612975,0.0010500000000000002,1.3187287616708383,0.0010500000000000002,Grollis Zephyr,0.7403085464916612,0.7258438153861636,0.701883258663973,0.8557099962002905,0.2640535744685947,0.5486849381450271,0.45624091722676324,0.7860633253179856,0.6295049402707398,0.5835637774802621,0.6024715328756806,0.649922492425556,0.3589449382287126,0.5342454937183025,0.788150918175329,0.4916090708870058,0.5829381489066005,0.40082749594224687,0.4856451813964252,0.5754439841690367,0.46962979829218765,0.0,0.0,0.060518948252170746,-0.08033297660785854
13,StrikeLooking,0.10794042701052997,True,Jaylen Hotdogfingers,0.8546726110194238,0.2355018576974395,0.8284631636685366,0.31454248442732874,0.34898531870008465,0.7059392820461995,0.9352963408341751,0.006181524906555505,Grollis Zephyr,0.7403085464916612,0.7258438153861636,0.701883258663973,0.8557099962002905,0.2640535744685947,0.5486849381450271,0.45624091722676324,0.7860633253179856,0.6295049402707398,0.5835637774802621,0.6024715328756806,0.649922492425556,0.3589449382287126,0.5342454937183025,0.788150918175329,0.4916090708870058,0.5829381489066005,0.40082749594224687,0.4856451813964252,0.5754439841690367,0.46962979829218765,0.0,0.0,-0.2153431384769279,-0.08033297660785854
14,StrikeLooking,0.518552097647121,True,Jaylen Hotdogfingers,0.8546726110194238,0.2355018576974395,0.8284631636685366,0.31454248442732874,0.34898531870008465,0.7059392820461995,0.9352963408341751,0.006181524906555505,Grollis Zephyr,0.7403085464916612,0.7258438153861636,0.701883258663973,0.8557099962002905,0.2640535744685947,0.5486849381450271,0.45624091722676324,0.7860633253179856,0.6295049402707398,0.5835637774802621,0.6024715328756806,0.649922492425556,0.3589449382287126,0.5342454937183025,0.788150918175329,0.4916090708870058,0.5829381489066005,0.40082749594224687,0.4856451813964252,0.5754439841690367,0.46962979829218765,0.0,0.0,-0.2153431384769279,-0.08033297660785854
15,StrikeLooking,0.8369542583153669,True,Silvaire Roadhouse,0.31094144247320316,1.3314303435627075,0.8404710996555897,0.6243648933049376,0.5995637324099949,0.0010500000000000002,0.6607444100089052,0.0010500000000000002,Grollis Zephyr,0.7403085464916612,0.7258438153861636,0.701883258663973,0.8557099962002905,0.2640535744685947,0.5486849381450271,0.45624091722676324,0.7860633253179856,0.6295049402707398,0.5835637774802621,0.6024715328756806,0.649922492425556,0.3589449382287126,0.5342454937183025,0.788150918175329,0.4916090708870058,0.5829381489066005,0.40082749594224687,0.4856451813964252,0.5754439841690367,0.46962979829218765,0.0,0.0,0.3281089774258794,-0.08033297660785854
16,StrikeLooking,0.08445727506897116,True,Silvaire Roadhouse,0.31094144247320316,1.3314303435627075,0.8404710996555897,0.6243648933049376,0.5995637324099949,0.0010500000000000002,0.6607444100089052,0.0010500000000000002,Grollis Zephyr,0.7403085464916612,0.7258438153861636,0.701883258663973,0.8557099962002905,0.2640535744685947,0.5486849381450271,0.45624091722676324,0.7860633253179856,0.6295049402707398,0.5835637774802621,0.6024715328756806,0.649922492425556,0.3589449382287126,0.5342454937183025,0.788150918175329,0.4916090708870058,0.5829381489066005,0.40082749594224687,0.4856451813964252,0.5754439841690367,0.46962979829218765,0.0,0.0,0.3281089774258794,-0.08033297660785854
17,Ball,0.6553397852350975,False,Hierophantic Foible,0.9871522102971833,0.793796589201628,0.8272713165405353,0.825489473054756,0.48110563653655847,0.8010322122683118,0.3630311121544065,0.10500000000000001,Grollis Zephyr,0.7403085464916612,0.7258438153861636,0.701883258663973,0.8557099962002905,0.2640535744685947,0.5486849381450271,0.45624091722676324,0.7860633253179856,0.6295049402707398,0.5835637774802621,0.6024715328756806,0.649922492425556,0.3589449382287126,0.5342454937183025,0.788150918175329,0.4916090708870058,0.5829381489066005,0.40082749594224687,0.4856451813964252,0.5754439841690367,0.46962979829218765,0.0,0.0,-0.01703981148912294,-0.08033297660785854
18,StrikeLooking,0.7294832482894071,True,Hierophantic Foible,0.9871522102971833,0.793796589201628,0.8272713165405353,0.825489473054756,0.48110563653655847,0.8010322122683118,0.3630311121544065,0.10500000000000001,Grollis Zephyr,0.7403085464916612,0.7258438153861636,0.701883258663973,0.8557099962002905,0.2640535744685947,0.5486849381450271,0.45624091722676324,0.7860633253179856,0.6295049402707398,0.5835637774802621,0.6024715328756806,0.649922492425556,0.3589449382287126,0.5342454937183025,0.788150918175329,0.4916090708870058,0.5829381489066005,0.40082749594224687,0.4856451813964252,0.5754439841690367,0.46962979829218765,0.0,0.0,-0.01703981148912294,-0.08033297660785854
19,Ball,0.8873854965589305,False,NaN,0.734153131096742,0.8035371899436411,0.340515902130013,0.7356388247789684,0.2995522000839237,0.7886138524033589,0.19934201102044768,0.0964584847539482,Grollis Zephyr,0.7403085464916612,0.7258438153861636,0.701883258663973,0.8557099962002905,0.2640535744685947,0.5486849381450271,0.45624091722676324,0.7860633253179856,0.6295049402707398,0.5835637774802621,0.6024715328756806,0.649922492425556,0.3589449382287126,0.5342454937183025,0.788150918175329,0.4916090708870058,0.5829381489066005,0.40082749594224687,0.4856451813964252,0.5754439841690367,0.46962979829218765,0.0,0.0,-0.11539883418158187,-0.08033297660785854
